5719637,flat,Genève,1205,98,GE,73, Boulevard de Saint-Georges,2.0,<NA>,<NA>,<NA>,<NA>,6.13829,46.20152,1.7224496413780763,<NA>,<NA>,1400;
5350678,flat,Genève,1207,98,GE,Adrien Lachenal, 26,1.0,<NA>,17,<NA>,<NA>,6.15615,46.19921,2.635672210269181,<NA>,<NA>,1500;
5689868,flat,Versoix,1290,72,GE,Chemin du Nant-de-Crève-Coeur, 12,3.0,<NA>,60,<NA>,<NA>,6.16232,46.27612,3.9260699043714262,<NA>,<NA>,1550;
5633263,flat,Les Acacias,1227,71,GE,Rue des Ronzades, 3,3.5,<NA>,44,<NA>,<NA>,6.13649,46.19112,0.8941686466691338,<NA>,<NA>,1640;
5674789,flat,Le Lignon,1219,72,GE,19, Avenue du Lignon,3.0,<NA>,60,<NA>,<NA>,6.0941,46.20143,2.1444842285895076,<NA>,<NA>,1900;
5704363,flat,Genève,1205,98,GE,Rue de Carouge, 63,3.0,<NA>,65,<NA>,<NA>,6.14416,46.19201,1.4906629825184043,<NA>,<NA>,1937;
5708747,flat,Confignon,1232,71,GE,6, Chemin de Chaumont,<NA>,<NA>,<NA>,<NA>,<NA>,6.08214,46.17592,3.385222918090269,<NA>,<NA>,1990;
5710111,flat,Genève,1202,98,GE,8, rue Liotard,<NA>,<NA>,75,<NA>,<NA>,6.13411,46.2097,2.410554990251947,<NA>,<NA>,2313;
5712341,flat,Genève,1208,98,GE,24, rue de Malagnou,3.0,<NA>,<NA>,<NA>,<NA>,6.16005,46.19757,2.8420193893961976,<NA>,<NA>,2350;
5708711,flat,Chêne-Bougeries,1224,73,GE,Avenue des Cavaliers, 7,<NA>,<NA>,80,<NA>,<NA>,6.18453,46.20325,4.829429341361763,<NA>,<NA>,2360;
5683146,flat,Le Lignon,1219,72,GE,9, avenue du Ligbob,<NA>,<NA>,96,<NA>,<NA>,6.09229,46.20071,2.227936522276388,<NA>,<NA>,2500;
5709981,flat,Satigny,1242,20,GE,12, Route De Peney-dessus,5.0,<NA>,120,<NA>,<NA>,6.04071,46.20104,1.4865940832177293,<NA>,<NA>,2500;
5698335,flat,Vernier,1214,72,GE,Chemin de l'Esplanade, 18,5.5,<NA>,105,<NA>,<NA>,6.08937,46.21613,0.6169923852559047,<NA>,<NA>,2800;
5710025,flat,Genève,1202,98,GE,Rue Jean-Charles Amat, 28,5.5,<NA>,100,<NA>,<NA>,6.14719,46.21504,3.040709318336766,<NA>,<NA>,3200;
5701520,flat,Genève,1207,98,GE,Rue Du 1er Juin, 4,4.5,<NA>,<NA>,<NA>,<NA>,6.16126,46.20652,3.390316652063545,<NA>,<NA>,3245;
5713706,flat,Chancy,1284,71,GE,Route de Valleiry, 35,6.0,<NA>,140,<NA>,<NA>,5.97029,46.14747,5.774997064037734,<NA>,<NA>,3400;
5431307,flat,Viano,7747,62,GR,Zavena (1,2 Km Autostrasse von Viano gen Norden),2.5,0,55,<NA>,2004,10.13942,46.2531,1.1096027449456873,500,125,625;
5452124,flat,Scuol,7550,91,GR,Center Augustin, Stradun 197,3.5,2,75,<NA>,<NA>,10.3021,46.7983,3.5616490438333033,<NA>,<NA>,1600;
5459237,flat,Ilanz,7130,86,GR,Via Mulin, 1,5.5,1,125,<NA>,2019,9.20959,46.77506,1.829719440444788,1670,<NA>,1670;
5683680,flat,Zizers,7205,21,GR,Rosgartenstrasse 29, Haus E,3.5,0,91,2015,<NA>,9.56009,46.93327,0.1790177641252428,1640,140,1780;
5396660,flat,Breil/Brigels,7165,86,GR,Via Tgariel, Haus Flurina,2.5,<NA>,56,<NA>,<NA>,9.05771,46.77021,4.7577103002050025,<NA>,<NA>,490;
5583736,flat,Obersaxen,7134,86,GR,Markal, 4,4.5,<NA>,111,<NA>,<NA>,9.1021,46.75056,2.5216012549483433,<NA>,<NA>,1490;
5532592,flat,Porrentruy,2900,69,JU,Sous-Bellevue 13, 13A,4.0,5,80,<NA>,<NA>,7.07868,47.42442,2.327914782638235,880,220,1100;
5569346,flat,Courtedoux,2905,69,JU,Rue du 23-Juin 70, 70B,4.0,2,98,<NA>,<NA>,7.0404,47.40792,3.771762170645723,1270,190,1460;
5324753,flat,Courtedoux,2905,69,JU,Rue du 23-Juin 70, 70B,4.0,2,98,<NA>,<NA>,7.0404,47.40792,3.771762170645723,1280,220,1500;
5642337,flat,Rebeuvelier,2832,23,JU,Rue du Raimeux, 4,2.0,<NA>,<NA>,<NA>,<NA>,7.41558,47.32412,4.5232108903940516,<NA>,<NA>,650;
5651267,flat,Delémont,2800,23,JU,24, rue de l'Hôpital,2.0,<NA>,45,<NA>,<NA>,7.34296,47.3662,10.953127259695837,<NA>,<NA>,800;
5719642,flat,Courtedoux,2905,69,JU,Rue du 23 Juin, 34,3.5,<NA>,75,<NA>,<NA>,7.04259,47.40956,3.5449842922389943,<NA>,<NA>,1000;
5698376,flat,Courroux,2822,23,JU,Cornat, 4,2.0,<NA>,<NA>,<NA>,<NA>,7.37178,47.36383,9.691645092593818,<NA>,<NA>,1050;
5694163,flat,Les Emibois,2338,27,JU,85, Les Ecarres,3.0,<NA>,<NA>,<NA>,<NA>,6.99305,47.23234,0.5843052299679632,<NA>,<NA>,1150;
5712153,flat,Kriens,6010,52,LU,Obernauerstrasse 33, Kriens,2.0,4,39,<NA>,<NA>,8.26785,47.03369,2.3036542222520344,950,160,1110;
5682640,flat,Luzern,6006,52,LU,Rankhofstrasse, 17,2.0,3,60,<NA>,<NA>,8.3121,47.06356,2.188254113364219,<NA>,<NA>,1290;
5718182,flat,Malters,6102,52,LU,Weihermatte 7A, 7B, 7C,2.5,<NA>,<NA>,2018,<NA>,8.17958,47.03804,6.108225871060623,1210,180,1390;
5604054,flat,Luzern,6005,52,LU,Moosmattstrasse 39, 6005 Luzern,3.0,0,<NA>,<NA>,<NA>,8.30431,47.03744,0.2730522540243269,1250,200,1450;
5718183,flat,Malters,6102,52,LU,Weihermatte 2, 6, 8,3.5,<NA>,85,2018,<NA>,8.18104,47.03836,5.992035766197182,1470,200,1670;
5718184,flat,Malters,6102,52,LU,Weihermatte 7A, 7B, 7C,3.5,<NA>,<NA>,2018,<NA>,8.17958,47.03804,6.108225871060623,1540,200,1740;
4315240,flat,Aesch LU,6287,80,LU,Käppeliacher 8, Erlenweg 1,3.5,3,90,2017,<NA>,8.23987,47.25297,3.2542091107011752,1660,200,1860;
5644429,flat,Hochdorf,6280,80,LU,Bellevuestrasse 30a, 6280 Hochdorf,4.5,2,110,<NA>,<NA>,8.28749,47.17237,1.0548256488048076,1680,260,1940;
5419271,flat,La Chaux-de-Fonds,2300,59,NE,Rue de la Paix 109, 2300,3.5,3,<NA>,<NA>,<NA>,6.81912,47.09833,1.1149474904647978,790,250,1040;
5525739,flat,La Chaux-de-Fonds,2300,59,NE,Rue de Parc 145, 147 et 149,3.0,0,80,<NA>,<NA>,6.81616,47.09551,1.4088357684667858,800,250,1050;
5247035,flat,La Chaux-de-Fonds,2300,59,NE,Rue de la Croix-Fédérale 23c, Actif,4.5,4,90,<NA>,2018,6.84066,47.1061,0.39389732662620053,1370,180,1550;
5625069,flat,Beckenried,6375,60,NW,Erlen, 2,4.5,2,110,2000,<NA>,8.4647,46.9699,6.99644513499128,1900,200,2100;
5715928,flat,Stans,6370,60,NW,Aemättlistrasse 1b, Haus 2 Stanserhorn,3.5,2,107,<NA>,<NA>,8.35896,46.96191,0.7129670187042735,1880,240,2120;
5714420,flat,Oberdorf NW,6370,60,NW,Engelbergstrasse, 62,3.5,<NA>,90,<NA>,<NA>,8.37449,46.95638,0.6266319909579885,<NA>,<NA>,2000;
4641716,flat,Alpnach Dorf,6055,66,OW,Hofmättelistrasse 5, Alpnach,3.5,2,<NA>,<NA>,<NA>,8.27144,46.9381,0.4046387541457904,860,210,1070;
4575893,flat,Schaffhausen,8200,75,SH,Grafenbuckhalde 8, Haus B,2.5,3,<NA>,<NA>,<NA>,8.63889,47.71056,2.0396922858277207,1279,210,1489;
5720505,flat,Stein am Rhein,8260,87,SH,Mülibach 1, 8259 Wagenhausen,3.5,1,86,<NA>,<NA>,8.85753,47.656,0.18942124324145776,1620,<NA>,1620;
5720504,flat,Stein am Rhein,8260,87,SH,Mülibach 1, 8259 Wagenhausen,4.0,3,143,2018,<NA>,8.85753,47.656,0.18942124324145776,2275,<NA>,2275;
5614157,flat,Balsthal,4710,67,SO,Herrengasse, 9,3.5,2,121,<NA>,2014,7.69627,47.31608,1.0346504299217598,1030,250,1280;
5648418,flat,Reichenburg,8864,54,SZ,Kantonsstrasse, 38,2.0,1,45,<NA>,2018,8.97625,47.16902,2.950485175600511,1100,100,1200;
2662060,flat,Einsiedeln,8840,24,SZ,Ebenau 1, Gross,3.5,1,109,1995,<NA>,8.77524,47.11625,5.9767499517677845,1800,200,2000;
4929852,flat,Einsiedeln,8840,24,SZ,Ebenau 2, Gross,4.5,1,132,<NA>,<NA>,8.7754,47.11669,5.9483920925411,1980,220,2200;
5691659,flat,Lachen SZ,8853,54,SZ,Bürgweg, 1,<NA>,<NA>,<NA>,<NA>,<NA>,8.85001,47.18923,2.116585165355758,<NA>,<NA>,1600;
5550942,flat,Kreuzlingen,8280,17,TG,Reutistrasse 9/9a, 11/11a,1.5,0,40,2020,<NA>,9.19774,47.64034,0.32266795457821845,840,65,905;
5550945,flat,Kreuzlingen,8280,17,TG,Reutistrasse 9/9a, 11/11a,2.5,0,67,2020,<NA>,9.19774,47.64034,0.32266795457821845,1230,105,1335;
5674215,flat,Oberneunforn,8526,28,TG,Hauptstasse, 11 c,3.5,2,95,<NA>,<NA>,8.76825,47.60606,3.4450936020910388,1190,280,1470;
5716700,flat,Wagenhausen,8259,92,TG,Mülibach 1, 8259 Wagenhausen,3.5,1,86,<NA>,<NA>,8.84432,47.6602,0.9209368727183651,1620,<NA>,1620;
5720507,flat,Wagenhausen,8259,92,TG,Mülibach 2, 8259 Wagenhausen,3.5,1,90,<NA>,<NA>,8.84481,47.66013,0.8852473339616244,1685,<NA>,1685;
